word,pos,signal,userId,cheat,session,time,eltime,wpm,i
psychedelic,JJ,0.0,0Xrcusohq88Vty8osMNt,True,0,1570241110,95.3,70.51416579223505,0
quadriplegia,NN,1.0,0Xrcusohq88Vty8osMNt,True,0,1570241110,95.3,70.51416579223505,0
shaky,JJ,1.0,0Xrcusohq88Vty8osMNt,True,0,1570241110,95.3,70.51416579223505,0
psychedelic,JJ,1.0,0Xrcusohq88Vty8osMNt,True,0,1570244373,40.0,168.0,1
quadriplegia,NN,0.0,0Xrcusohq88Vty8osMNt,True,0,1570244373,40.0,168.0,1
shaky,JJ,0.0,0Xrcusohq88Vty8osMNt,True,0,1570244373,40.0,168.0,1
unraveling,VBG,0.0,0Xrcusohq88Vty8osMNt,True,0,1570244376,377.2,16.224814422057264,2
mayhem,NN,0.0,0Xrcusohq88Vty8osMNt,True,0,1570244376,377.2,16.224814422057264,2
jade,NNP,0.0,0bHdAlU0BUXj4OLRPzTZ,False,0,1569457395,108.7,72.86108555657773,4
jade,NNP,0.0,0bHdAlU0BUXj4OLRPzTZ,False,0,1569457395,108.7,72.86108555657773,4
finger,NN,0.0,0bHdAlU0BUXj4OLRPzTZ,False,0,1569457395,108.7,72.86108555657773,4
jade,NNP,0.0,0bHdAlU0BUXj4OLRPzTZ,False,0,1569457395,108.7,72.86108555657773,4
jade,NNP,0.0,0bHdAlU0BUXj4OLRPzTZ,False,0,1569457395,108.7,72.86108555657773,4
snatched,VBD,0.0,0bHdAlU0BUXj4OLRPzTZ,False,0,1569457395,108.7,72.86108555657773,4
jade,NNP,0.0,0bHdAlU0BUXj4OLRPzTZ,False,0,1569457395,108.7,72.86108555657773,4
jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,0,1569457396,71.2,143.25842696629212,5
jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,0,1569457396,71.2,143.25842696629212,5
would,MD,1.0,0bHdAlU0BUXj4OLRPzTZ,False,0,1569457396,71.2,143.25842696629212,5
jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,0,1569457396,71.2,143.25842696629212,5
jade,RB,1.0,0bHdAlU0BUXj4OLRPzTZ,False,0,1569457396,71.2,143.25842696629212,5
court,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,0,1569457396,71.2,143.25842696629212,5
schoolmaster,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,0,1569457396,111.2,87.94964028776978,6
jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,0,1569457396,111.2,87.94964028776978,6
cousins,NNS,0.0,0bHdAlU0BUXj4OLRPzTZ,False,0,1569457396,111.2,87.94964028776978,6
jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,0,1569457396,111.2,87.94964028776978,6
jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,0,1569457396,111.2,87.94964028776978,6
jade,VB,1.0,0bHdAlU0BUXj4OLRPzTZ,False,0,1569457396,111.2,87.94964028776978,6
jade,VBN,1.0,0bHdAlU0BUXj4OLRPzTZ,False,0,1569457396,111.2,87.94964028776978,6
would,MD,1.0,0bHdAlU0BUXj4OLRPzTZ,False,0,1569457396,111.2,87.94964028776978,6
fetch,VB,0.0,0bHdAlU0BUXj4OLRPzTZ,False,0,1569457396,111.2,87.94964028776978,6
would,MD,1.0,0bHdAlU0BUXj4OLRPzTZ,False,0,1569457396,111.2,87.94964028776978,6
would,MD,1.0,0bHdAlU0BUXj4OLRPzTZ,False,0,1569457396,111.2,87.94964028776978,6
would,MD,1.0,0bHdAlU0BUXj4OLRPzTZ,False,0,1569457396,111.2,87.94964028776978,6
schoolmaster,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,0,1569457396,111.2,87.94964028776978,6
jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,0,1569457396,125.2,76.19808306709264,7
would,MD,0.0,0bHdAlU0BUXj4OLRPzTZ,False,0,1569457396,125.2,76.19808306709264,7
extremely,RB,0.0,0bHdAlU0BUXj4OLRPzTZ,False,0,1569457396,125.2,76.19808306709264,7
schoolmaster,NNP,0.0,0bHdAlU0BUXj4OLRPzTZ,False,0,1569457396,125.2,76.19808306709264,7
would,MD,0.0,0bHdAlU0BUXj4OLRPzTZ,False,0,1569457396,125.2,76.19808306709264,7
would,MD,0.0,0bHdAlU0BUXj4OLRPzTZ,False,0,1569457396,125.2,76.19808306709264,7
niece,NN,0.0,0bHdAlU0BUXj4OLRPzTZ,False,0,1569457396,125.2,76.19808306709264,7
jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,0,1569457396,125.2,76.19808306709264,7
jade,NN,1.0,0bHdAlU0BUXj4OLRPzTZ,False,0,1569457397,38.2,262.30366492146595,8
would,MD,1.0,0bHdAlU0BUXj4OLRPzTZ,False,0,1569457397,38.2,262.30366492146595,8
court,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,0,1569457397,38.2,262.30366492146595,8
jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,0,1569457397,38.2,262.30366492146595,8
schoolmaster,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,0,1569457397,38.2,262.30366492146595,8
jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,0,1569457397,38.2,262.30366492146595,8
jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,0,1569457397,38.2,262.30366492146595,8
would,MD,1.0,0bHdAlU0BUXj4OLRPzTZ,False,0,1569457397,65.2,143.55828220858896,9
court,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,0,1569457397,65.2,143.55828220858896,9
clamored,VBD,0.0,0bHdAlU0BUXj4OLRPzTZ,False,0,1569457397,65.2,143.55828220858896,9
jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,0,1569457397,65.2,143.55828220858896,9
jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,0,1569457397,65.2,143.55828220858896,9
jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,0,1569457397,65.2,143.55828220858896,9
schoolmaster,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,0,1569457397,65.2,143.55828220858896,9
jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,1,1569535030,54.7,161.24314442413163,10
jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,1,1569535030,54.7,161.24314442413163,10
jade,RB,1.0,0bHdAlU0BUXj4OLRPzTZ,False,1,1569535065,236.0,42.45762711864407,11
jade,NN,1.0,0bHdAlU0BUXj4OLRPzTZ,False,1,1569535065,236.0,42.45762711864407,11
jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,1,1569535065,236.0,42.45762711864407,11
jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,1,1569535065,236.0,42.45762711864407,11
would,MD,1.0,0bHdAlU0BUXj4OLRPzTZ,False,1,1569535065,236.0,42.45762711864407,11
thing,NN,0.0,0bHdAlU0BUXj4OLRPzTZ,False,1,1569535065,236.0,42.45762711864407,11
